score,time_taken,attempts,avg_user_score,tasks_completed_today,account_age_days,previous_rewards,time_of_day,fraud
8,527,3,14,9,68,2,23,0
14,194,2,7,1,254,19,23,0
12,301,1,18,4,17,1,2,0
0,344,5,17,6,261,12,4,0
24,125,1,19,8,213,10,11,0
6,58,2,6,0,313,11,19,0
8,91,5,17,2,256,17,13,0
23,342,5,8,5,216,8,4,0
0,566,1,9,6,351,6,23,0
11,344,4,6,5,286,5,3,0
7,541,1,17,0,7,13,20,0
23,230,1,19,3,199,17,15,0
10,332,4,5,5,91,13,6,0
18,12,2,14,7,147,4,2,0
16,215,2,15,9,150,19,21,1
7,49,5,9,3,52,12,3,0
2,68,3,13,6,243,0,19,0
2,583,3,19,2,219,11,21,0
0,516,5,16,7,6,18,5,1
4,581,3,16,0,109,9,2,0
9,131,1,19,3,351,4,0,0
6,488,1,9,7,66,19,2,0
8,105,4,16,9,10,5,23,0
6,423,4,15,3,202,11,7,0
8,244,5,14,1,282,2,15,0
7,71,5,13,1,214,13,21,0
11,265,5,18,3,68,3,6,0
1,570,1,17,3,247,16,17,0
0,357,3,16,1,354,16,8,0
15,133,5,14,6,327,13,2,0
22,491,5,10,5,50,14,17,0
22,326,1,7,2,17,6,15,0
23,513,1,8,7,11,3,20,0
4,57,1,8,7,309,16,0,0
2,418,3,5,0,306,5,20,0
11,145,5,7,2,124,10,19,0
7,210,2,7,4,225,11,15,0
21,259,2,17,1,244,14,11,0
2,323,5,18,4,318,11,5,0
0,377,5,5,9,332,10,20,1
2,438,5,17,2,346,16,8,0
4,489,5,13,8,29,7,20,0
14,323,3,15,0,358,11,12,0
13,509,2,5,3,357,8,23,0
2,364,4,13,9,285,10,11,0
0,494,2,5,5,59,2,12,0
4,220,2,6,8,143,6,17,0
22,53,1,6,2,326,2,18,0
13,550,5,18,2,352,15,18,0
6,580,5,10,4,300,9,18,0
8,592,5,11,6,226,6,5,0
14,101,1,15,4,164,19,15,0
14,274,3,5,7,84,14,6,0
9,229,3,7,4,313,9,6,0
12,451,4,6,6,117,11,22,0
18,410,3,12,5,320,17,18,0
6,409,3,13,9,204,8,15,0
16,585,5,17,1,355,8,16,0
19,499,2,6,2,294,3,21,0
3,494,3,6,3,145,4,18,0
4,479,3,14,4,27,6,15,0
22,583,1,19,8,17,6,15,0
6,454,4,13,5,63,10,18,0
12,278,1,18,0,267,9,14,0
14,276,5,8,2,64,10,2,0
10,63,2,9,6,39,17,14,0
3,537,4,17,7,130,11,15,0
12,529,1,15,6,115,15,19,0
6,68,3,13,4,45,3,4,0
18,49,3,10,9,216,16,18,0
21,246,4,14,7,88,16,9,0
1,395,3,16,8,336,4,12,0
9,309,1,13,6,177,12,14,0
12,404,1,13,8,265,2,11,0
24,216,3,11,0,105,16,16,0
20,345,3,18,8,334,10,14,0
5,523,5,16,2,301,0,3,0
11,187,2,14,5,171,17,14,0
11,405,4,13,7,108,16,16,0
19,380,1,9,2,355,8,10,0
10,327,4,9,3,161,19,22,0
22,378,5,16,6,283,6,22,0
24,393,1,12,6,40,4,14,0
6,71,5,14,3,26,15,19,0
0,514,5,8,8,83,6,20,0
0,248,3,13,2,173,12,6,0
24,204,4,11,7,173,12,12,0
24,231,4,11,7,282,14,21,0
19,70,3,17,3,70,16,12,0
12,138,4,19,6,323,16,19,0
8,165,3,7,3,6,18,19,0
2,387,1,8,0,284,9,1,0
6,595,5,11,0,195,1,9,0
5,446,5,15,0,13,13,17,0
7,216,4,15,1,63,2,19,0
8,397,2,18,5,13,6,4,0
4,489,5,9,9,249,10,19,1
0,349,3,16,4,205,16,18,0
18,349,2,7,1,253,14,1,0
9,213,2,5,7,40,18,3,0
11,170,5,11,8,165,10,15,0
23,549,5,10,6,31,14,20,0
14,401,5,14,8,17,14,15,0
21,584,3,19,3,137,5,16,0
23,543,2,11,6,320,14,14,0
8,79,4,19,4,313,8,12,0
19,414,3,18,4,165,4,0,0
16,526,1,6,2,281,18,21,0
16,129,5,17,8,223,4,4,0
19,226,2,16,9,122,12,19,0
11,65,3,8,4,78,17,0,0
6,375,1,6,5,313,19,11,0
1,513,3,12,2,327,16,22,0
2,464,3,11,9,88,14,14,0
16,113,4,5,6,113,13,3,0
4,86,4,6,8,100,15,18,0
16,239,3,6,8,303,3,15,0
23,267,1,8,9,239,16,22,0
16,273,2,7,9,346,19,17,0
16,340,2,5,4,111,13,16,0
1,191,5,16,6,90,17,10,0
1,559,5,18,2,139,5,19,0
21,36,2,6,5,135,7,12,0
22,285,3,15,7,12,8,23,0
4,308,3,13,7,244,0,21,0
0,100,4,17,1,182,12,8,0
0,489,4,5,5,195,2,16,0
18,582,5,13,6,362,5,16,0
1,467,2,11,6,122,16,4,0
20,460,3,6,2,53,7,21,0
11,374,2,6,8,356,5,7,0
5,360,1,9,1,173,15,2,0
22,409,2,17,2,179,0,5,0
3,262,1,9,1,293,9,2,0
22,468,4,8,8,59,17,7,0
10,508,4,16,3,54,13,11,0
23,517,5,14,1,257,4,3,0
16,313,2,14,2,245,16,1,0
5,510,2,17,3,149,13,9,0
23,175,1,16,9,284,17,14,0
4,424,4,7,5,16,3,12,0
19,471,1,8,4,176,19,23,0
1,123,4,14,2,28,1,14,0
5,442,1,8,9,129,6,21,0
21,365,4,6,7,223,6,18,0
10,216,1,9,7,244,6,17,0
15,244,4,19,6,354,12,12,0
15,451,1,9,2,238,18,19,0
0,364,2,9,0,232,5,19,0
8,524,5,15,4,326,19,0,0
5,217,1,19,0,92,16,15,0
15,134,5,15,5,3,17,7,1
2,147,2,14,6,81,0,22,0
19,348,2,5,4,44,12,5,0
3,546,4,10,3,155,18,2,0
18,77,5,15,1,24,15,19,0
2,582,3,6,4,99,9,15,0
18,550,4,11,8,171,12,1,0
19,392,5,8,3,148,9,22,0
6,28,1,19,1,123,13,1,0
19,459,1,9,5,112,8,14,0
8,83,2,9,7,130,10,9,0
0,582,3,9,1,68,2,0,0
7,285,1,6,8,347,7,21,0
6,57,5,9,6,316,11,19,0
17,220,5,7,1,217,2,14,0
7,549,1,8,4,96,6,23,0
0,200,5,17,4,145,13,0,0
10,324,5,6,6,33,6,21,0
24,572,2,8,4,286,6,15,0
24,571,3,17,5,5,13,17,0
17,122,2,13,8,118,11,23,0
22,179,3,12,2,140,0,4,0
9,477,5,17,2,230,4,20,0
2,23,3,18,7,160,10,4,0
6,297,5,19,9,294,0,22,1
15,198,5,15,5,249,12,22,0
15,164,2,16,9,273,16,9,0
24,576,2,7,2,186,2,22,0
19,480,4,5,1,40,9,11,0
16,84,1,5,1,224,18,9,0
1,286,4,10,1,152,6,1,0
0,352,4,7,4,140,19,23,0
15,434,3,8,4,128,2,0,0
11,580,5,5,0,351,11,15,1
4,520,5,12,1,147,9,17,0
4,191,5,5,1,285,11,6,0
22,467,1,9,3,218,14,3,0
8,73,3,10,6,220,5,9,0
8,269,3,19,2,145,18,9,0
2,202,5,6,4,329,4,10,0
18,415,4,11,8,277,19,2,0
15,102,1,11,4,242,1,13,0
15,439,4,5,8,60,18,12,0
2,443,2,8,0,98,18,18,0
19,413,3,16,8,331,3,9,0
23,443,3,17,4,181,19,14,0
21,121,4,8,7,114,4,7,0
23,384,1,9,4,103,6,16,0
0,68,3,5,5,336,3,5,0
23,52,4,5,7,319,10,6,0
19,216,1,11,1,57,2,13,0
10,305,4,13,2,285,4,7,0
16,127,1,5,8,129,19,11,0
7,541,5,6,4,315,14,17,0
3,231,1,10,4,86,17,13,0
5,175,2,19,8,200,15,0,0
7,165,5,19,9,71,15,3,1
19,193,4,10,2,345,9,16,0
2,99,5,6,3,98,0,17,0
15,103,5,13,6,300,10,18,0
24,22,4,8,1,176,16,3,0
2,447,4,17,7,233,14,5,0
24,547,2,11,4,75,6,7,0
17,596,4,10,0,143,5,14,0
13,159,3,15,2,23,14,19,0
17,17,3,17,8,181,14,0,0
1,38,2,15,4,45,6,4,0
21,305,1,7,7,92,2,15,0
2,349,1,12,0,269,13,20,0
15,448,3,11,6,34,8,5,0
8,153,4,13,6,166,2,20,0
3,528,2,7,7,70,5,9,0
0,54,1,5,2,364,19,9,0
3,248,1,6,0,196,8,4,0
0,164,5,16,8,133,0,7,0
13,190,3,15,0,247,8,0,0
20,224,4,19,5,168,11,4,0
15,97,2,16,8,277,3,0,0
19,265,1,5,1,156,15,6,0
23,520,5,15,3,23,4,14,0
7,82,3,9,1,200,16,22,0
6,188,3,19,3,275,16,23,0
2,221,2,14,1,50,5,13,0
16,243,1,18,0,186,14,22,0
0,474,2,6,2,20,0,8,0
15,232,2,7,7,116,12,7,0
11,273,5,12,4,92,15,7,0
18,216,3,19,3,349,1,2,0
21,375,4,14,4,339,18,19,0
22,285,3,18,5,53,1,3,0
21,389,3,9,5,123,11,16,0
13,318,5,8,4,341,11,5,0
5,277,4,9,5,338,7,1,0
5,73,1,14,8,265,11,8,0
12,359,4,10,4,4,10,13,0
18,503,1,16,5,169,1,0,0
21,532,4,11,3,281,0,16,0
7,107,2,18,2,290,3,10,0
1,80,4,17,5,73,8,5,0
20,373,5,13,4,137,6,0,0
0,579,1,5,3,338,9,18,0
14,285,3,8,4,256,19,15,0
0,59,5,16,6,141,13,17,0
4,367,1,16,0,208,0,10,0
15,573,1,13,0,260,4,8,0
18,494,3,9,0,263,12,20,0
3,93,2,12,1,271,5,5,0
2,593,5,16,8,38,16,1,0
16,305,3,5,4,203,14,7,0
16,245,3,8,8,224,6,21,0
11,65,2,16,4,347,7,15,0
13,369,5,18,6,52,1,7,0
20,119,3,16,5,81,17,7,0
5,201,2,13,1,356,6,13,0
2,102,5,17,2,211,19,0,0
8,577,4,5,4,7,15,6,0
4,69,1,5,3,363,18,1,0
23,48,2,8,5,45,8,14,0
16,549,1,18,7,315,11,23,0
13,58,4,7,7,277,13,17,0
20,429,3,11,2,259,6,3,0
2,22,3,15,3,142,1,17,0
0,45,5,7,0,258,16,22,0
19,110,2,5,1,285,10,4,0
20,95,2,16,8,37,17,15,0
22,525,5,19,9,45,11,12,1
0,232,1,15,9,120,2,8,0
2,347,3,14,1,46,13,4,0
17,175,3,6,5,140,14,7,0
24,392,2,14,6,53,18,17,0
9,385,2,17,5,301,9,2,0
21,480,5,8,7,288,8,5,0
2,40,4,5,8,274,9,10,0
7,384,1,5,7,269,19,22,0
13,20,4,16,4,279,3,13,0
23,311,4,18,7,62,18,23,0
17,105,2,12,9,54,9,18,0
14,199,2,11,9,69,16,6,0
21,462,2,18,8,242,11,23,0
22,201,4,12,7,270,0,9,0
1,495,1,17,1,252,10,14,0
9,275,2,8,1,354,12,5,0
1,433,3,10,2,284,0,19,0
16,137,1,19,6,351,0,5,0
7,247,3,17,8,71,15,15,0
0,364,1,7,7,323,6,8,0
8,121,2,15,8,100,9,18,0
10,455,5,17,5,61,15,17,1
21,352,2,12,0,103,0,4,0
15,154,4,8,3,119,8,15,0
6,74,4,7,5,17,5,6,0
9,256,1,8,5,305,14,18,0
22,499,4,10,7,191,3,4,0
2,448,2,15,0,212,14,19,0
17,115,3,11,1,78,9,10,0
24,190,2,11,1,46,15,22,0
23,193,1,18,5,93,12,17,0
12,235,4,19,6,13,18,6,0
6,98,3,16,1,228,19,17,0
24,539,5,8,4,301,3,2,0
3,380,3,12,5,17,19,4,0
12,408,3,11,3,303,15,22,0
19,115,2,6,0,62,10,12,0
0,280,5,17,2,43,14,15,0
7,512,1,12,9,68,10,21,0
13,534,1,13,8,212,10,11,0
15,41,3,9,5,203,2,6,0
13,402,3,19,1,214,16,21,0
11,49,4,8,8,109,4,12,0
18,227,5,8,3,284,12,0,0
22,91,3,17,7,94,9,14,0
14,210,4,8,9,225,4,20,0
1,456,5,10,6,225,11,11,0
1,437,1,15,2,239,7,16,0
22,47,4,8,7,118,11,22,0
21,220,5,11,3,91,15,19,0
18,453,4,11,1,340,1,4,0
24,336,3,9,4,289,2,16,0
21,236,2,17,0,281,17,23,0
21,57,1,9,7,19,16,14,0
16,27,3,19,7,175,1,19,0
19,448,3,14,2,106,11,18,0
9,196,5,12,0,289,16,0,0
5,354,4,11,3,248,5,3,0
14,233,1,18,8,323,16,2,0
21,497,3,11,8,142,1,7,0
10,238,5,10,0,298,7,8,0
4,399,1,11,6,193,13,11,0
0,598,4,11,5,351,5,4,0
7,197,3,14,6,303,8,8,0
20,279,3,18,6,291,0,0,0
11,319,3,6,7,332,4,22,0
11,141,1,18,7,208,6,10,0
4,560,1,14,9,248,8,6,0
6,81,1,6,1,142,13,21,0
3,196,1,18,3,311,8,19,0
5,495,5,14,3,222,3,13,0
12,200,2,11,9,225,19,2,0
19,431,5,18,7,354,14,10,0
14,129,3,14,2,184,3,16,0
2,229,5,11,2,364,2,17,0
22,62,4,11,1,305,13,18,0
7,460,1,9,0,188,8,17,0
19,421,4,5,7,113,18,5,0
15,246,4,18,8,181,5,14,0
12,415,3,6,8,199,2,6,0
17,431,1,17,7,70,17,4,0
9,256,4,13,4,86,15,4,0
18,81,3,12,0,39,2,6,0
16,194,1,12,8,131,1,21,0
23,15,2,14,5,10,1,11,0
18,215,3,5,6,3,9,7,0
22,553,5,10,7,302,14,17,0
4,396,1,19,4,150,2,17,0
20,85,4,19,5,67,7,16,0
22,186,4,13,6,193,17,22,0
8,358,5,19,6,97,10,10,0
11,264,5,12,1,19,6,14,0
20,317,4,7,0,318,18,19,0
0,354,1,8,7,98,6,5,0
0,136,3,19,4,57,1,11,0
14,296,5,7,9,351,5,22,1
1,496,5,10,1,107,4,6,0
21,392,5,18,2,88,13,7,0
15,415,2,13,5,141,17,3,0
24,397,1,19,9,144,3,2,0
7,534,1,12,5,52,3,2,0
12,566,1,19,7,212,12,9,0
20,285,1,19,4,41,0,23,0
0,509,1,17,4,304,19,14,0
15,346,4,14,6,91,4,12,0
6,490,5,8,9,39,2,18,1
4,282,4,19,4,13,18,7,0
21,67,2,6,8,96,12,17,0
22,337,3,17,5,109,6,4,0
2,118,5,12,6,104,9,20,1
11,288,2,12,7,354,2,6,0
15,337,4,18,4,231,1,4,0
18,324,3,16,3,43,6,18,0
4,483,2,15,7,209,8,16,0
21,120,3,10,9,88,11,18,0
24,238,2,18,8,93,9,3,0
13,506,4,12,0,174,18,21,0
4,165,3,13,2,126,12,23,0
14,482,2,17,3,109,9,6,0
16,281,4,5,6,47,4,23,0
13,11,5,13,5,214,14,21,0
19,520,4,6,9,92,2,5,0
4,295,4,18,9,181,7,13,0
11,22,5,17,0,41,5,21,0
15,507,4,5,3,259,18,18,0
15,247,5,12,5,121,16,19,0
20,103,5,12,2,77,9,10,0
6,347,5,15,1,95,0,21,0
3,180,2,8,1,269,12,6,0
0,576,3,12,9,361,9,2,0
4,476,2,11,3,18,11,19,0
22,152,5,17,0,293,1,21,0
9,210,3,6,9,171,9,16,0
21,189,3,9,1,162,0,10,0
4,373,5,18,9,311,0,14,1
3,488,3,14,1,52,19,6,0
1,574,3,8,3,36,14,14,0
19,480,2,7,3,187,0,16,0
9,393,3,5,0,248,8,10,0
18,426,5,9,6,52,6,11,0
0,317,1,14,6,19,15,12,0
23,376,1,12,9,92,15,10,0
4,10,1,16,9,139,12,10,0
12,53,5,13,9,304,9,8,1
3,107,1,11,0,357,17,10,0
15,274,2,16,7,220,8,3,0
23,149,5,15,9,99,11,1,1
15,490,5,5,6,236,12,22,0
22,246,5,5,6,207,10,3,0
1,81,3,19,5,144,14,13,0
16,199,3,5,3,199,9,4,0
19,277,3,6,7,303,9,16,0
23,330,4,5,1,323,8,11,0
11,116,2,8,6,287,2,5,0
17,241,5,14,2,332,15,11,0
2,51,5,13,2,264,11,14,0
0,148,3,16,6,217,16,22,0
0,282,5,8,2,189,14,18,0
18,490,5,17,4,44,2,9,0
10,425,1,8,7,291,4,1,0
4,515,5,11,3,189,12,11,0
11,433,4,18,6,194,5,11,0
2,416,3,15,6,270,8,6,0
0,577,2,13,1,260,18,0,0
0,399,2,11,7,239,6,17,0
7,351,1,5,9,112,12,2,0
9,502,2,5,9,69,4,19,0
10,201,2,8,8,49,15,4,0
11,508,3,8,5,311,3,19,0
12,242,3,5,4,151,4,14,0
11,236,4,10,0,239,19,9,0
13,380,1,14,0,337,18,18,0
1,148,2,6,8,115,5,0,0
18,158,4,15,3,75,3,6,0
17,124,1,9,0,98,0,21,0
2,459,2,12,9,111,16,17,0
22,72,2,19,2,357,8,1,0
16,113,3,7,5,285,15,18,0
7,282,5,13,7,256,1,23,0
9,15,1,11,9,318,10,23,1
1,156,2,13,1,309,4,9,0
18,193,1,5,7,117,12,14,0
8,37,4,9,0,176,19,9,0
6,559,4,16,1,228,16,9,0
3,128,5,17,7,347,14,11,0
20,302,2,7,6,106,11,7,0
17,380,3,8,4,342,5,22,0
12,253,2,8,9,239,19,13,0
10,589,1,15,1,100,12,1,0
23,227,4,16,8,176,17,16,0
3,186,1,11,4,350,14,5,0
24,308,5,14,7,249,14,7,0
20,67,4,15,3,76,7,0,0
24,278,3,12,8,3,18,2,0
3,317,4,15,9,81,13,14,0
9,579,2,14,6,361,6,16,0
4,297,2,9,1,288,13,6,0
8,114,4,17,2,8,4,13,0
23,237,5,17,1,87,14,23,0
2,256,2,16,4,286,14,2,0
16,503,2,14,1,74,3,17,0
2,92,3,11,4,123,0,21,0
15,195,4,7,8,294,16,4,0
3,261,2,7,1,143,19,19,0
17,364,5,7,8,158,0,21,0
16,219,1,16,6,109,15,14,0
6,456,4,8,6,334,12,5,0
23,469,3,10,4,195,17,2,0
22,481,2,19,7,36,9,17,0
4,379,5,9,6,90,17,23,0
11,501,4,12,5,296,16,19,0
16,146,5,18,1,330,8,21,0
22,376,5,18,5,201,13,2,0
12,193,3,16,1,46,12,7,0
22,597,4,17,0,107,19,18,0
24,296,2,9,8,170,19,17,0
2,481,3,15,4,146,13,14,0
8,384,2,16,9,356,10,22,0
16,546,1,9,9,178,12,13,0
16,520,5,18,3,61,16,15,0
19,588,1,14,7,3,2,2,0
15,259,5,6,4,82,0,14,0
24,519,3,16,6,263,4,18,0
21,82,2,15,2,287,12,7,0
12,291,2,15,7,321,4,1,0
18,369,3,9,7,95,4,16,0
16,19,4,19,2,64,11,11,0
3,220,1,16,8,246,1,18,0
11,161,1,11,7,77,15,10,0
8,14,2,6,0,259,16,17,0
18,204,2,18,7,93,4,12,0
11,292,2,17,3,291,11,13,0
8,473,3,10,5,271,14,11,0
6,122,4,11,9,21,5,14,0
13,280,1,9,8,62,12,22,0
19,172,5,13,4,339,10,20,0
18,469,3,18,6,260,16,7,0
14,114,1,8,0,237,8,1,0
15,565,4,18,8,141,15,7,0
20,291,3,18,5,167,16,22,0
4,171,1,17,3,67,19,4,0
2,360,3,14,5,350,17,1,0
11,443,1,19,4,58,12,9,0
24,149,1,5,2,212,10,22,0
19,480,4,18,6,130,12,9,0
20,141,5,12,2,25,12,3,0
3,96,4,19,1,11,11,3,0
20,192,1,12,3,257,13,7,0
22,377,3,11,6,304,12,5,0
15,138,4,12,4,81,8,14,0
24,255,5,6,8,286,13,17,0
6,587,1,7,9,19,0,20,0
12,387,4,13,6,110,8,21,0
20,158,4,5,8,34,3,7,0
9,442,4,12,8,288,11,19,0
6,478,4,12,1,332,13,6,0
13,455,3,11,0,255,8,22,0
4,490,5,17,3,126,2,19,0
2,303,5,18,3,209,5,16,0
22,152,1,15,1,134,2,18,0
10,259,2,9,2,86,0,1,0
10,311,3,8,2,75,2,11,0
17,34,1,14,4,135,13,18,0
14,79,1,14,0,301,19,4,0
11,121,4,17,8,173,1,11,0
8,373,2,19,7,213,11,16,0
9,312,2,14,7,321,9,4,0
11,480,3,18,2,350,12,1,0
16,100,2,14,1,19,19,3,0
5,539,1,10,0,119,3,5,0
6,201,2,16,5,303,18,8,0
13,561,2,15,9,302,0,21,0
12,251,5,5,0,285,10,9,0
7,147,1,17,4,227,15,10,0
9,354,2,9,8,212,18,1,0
8,189,2,18,8,356,18,23,0
17,512,4,8,3,189,11,20,0
1,212,2,8,6,321,2,8,0
4,582,2,11,6,151,17,19,0
4,201,5,13,3,223,16,16,0
5,14,1,12,4,128,4,8,0
18,246,3,15,8,248,15,7,0
7,320,1,17,6,51,13,4,0
15,558,4,18,6,191,18,4,0
12,65,1,16,9,237,5,5,0
0,452,2,12,6,22,2,15,0
21,246,4,9,8,110,5,0,0
19,206,1,10,4,327,11,8,0
16,594,4,6,5,33,19,20,0
6,580,3,17,2,127,10,6,0
24,523,1,15,0,356,6,10,0
12,458,2,18,1,44,0,14,0
3,369,4,7,7,7,15,23,0
3,39,5,9,0,128,15,4,0
5,117,4,6,9,91,16,18,0
18,454,5,7,6,130,14,5,0
11,447,2,8,4,17,8,22,0
21,466,3,10,5,321,4,13,0
6,504,5,9,7,186,19,19,0
9,256,3,14,3,110,7,13,0
18,552,4,8,5,286,0,10,0
6,573,2,17,2,348,6,3,0
2,597,5,19,6,163,10,9,0
12,448,4,6,1,75,19,1,0
12,287,1,16,7,199,12,3,0
17,561,4,15,6,361,12,19,0
19,120,3,9,7,287,6,9,0
7,394,2,9,1,182,10,0,0
8,200,2,15,2,97,17,13,0
6,499,4,11,3,51,0,17,0
0,435,1,5,8,314,11,11,0
2,414,3,8,4,34,2,18,0
12,344,4,15,5,21,0,22,0
24,218,4,9,0,184,3,11,0
16,31,2,12,3,293,5,4,0
24,217,3,16,3,64,4,3,0
23,17,1,19,9,124,10,12,1
0,538,2,16,7,101,19,17,0
5,175,4,12,7,119,12,11,0
20,505,2,5,9,341,10,15,0
5,599,2,9,5,78,5,22,0
11,438,5,14,7,181,18,5,0
12,172,2,5,8,199,14,6,0
12,375,2,5,4,360,12,23,0
14,535,3,6,0,190,9,8,0
20,248,2,6,0,328,0,9,0
15,81,1,19,1,103,12,4,0
21,454,4,19,1,333,5,20,0
20,518,3,13,4,275,19,3,0
10,278,2,8,6,130,11,10,0
4,424,1,7,6,241,16,18,0
3,254,4,15,3,134,17,6,0
2,69,3,5,3,157,7,12,0
18,15,1,16,9,318,13,12,0
19,579,2,6,2,158,4,20,0
24,416,5,10,1,359,1,22,0
17,226,5,13,2,190,10,17,0
14,35,3,9,7,100,2,8,0
8,14,1,8,0,52,15,12,0
16,541,4,17,3,49,15,12,0
13,399,1,9,6,100,8,4,0
14,580,5,13,4,251,12,11,0
0,457,3,16,1,54,9,0,0
20,155,2,17,0,137,16,17,0
21,397,1,11,5,162,16,20,0
21,258,5,12,4,354,9,20,0
2,535,4,19,2,292,7,21,0
15,471,3,8,8,81,6,23,0
22,22,2,15,2,220,13,16,0
24,393,1,12,1,85,17,9,0
10,565,4,10,4,83,18,8,0
11,408,2,9,8,319,17,19,0
9,28,5,17,7,67,13,7,1
15,584,5,16,5,234,9,14,0
7,500,4,11,2,198,0,12,0
5,428,5,10,5,259,8,20,0
11,346,3,7,4,177,17,16,0
23,428,4,9,0,298,12,8,0
20,131,5,13,4,280,16,23,0
7,441,1,11,6,300,15,20,0
3,53,5,16,8,129,10,10,0
7,326,3,8,0,180,8,3,0
17,390,2,11,2,292,6,23,0
4,154,2,9,7,207,0,6,0
8,336,5,15,5,294,8,19,0
3,372,2,17,4,338,9,22,0
21,59,5,19,9,175,15,21,1
16,74,3,6,1,29,17,2,0
8,364,2,17,2,179,13,9,0
0,173,1,10,1,41,10,2,0
20,150,5,11,0,192,3,0,0
19,137,2,12,6,344,18,13,0
12,407,3,10,2,237,12,12,0
15,472,3,12,6,304,0,4,0
12,196,1,11,6,225,18,7,0
13,199,3,6,7,114,14,11,0
2,397,3,18,0,278,19,5,0
5,438,2,10,4,355,14,23,0
17,293,5,13,9,17,10,22,1
18,246,4,16,8,86,4,1,0
4,203,3,10,6,317,9,23,0
14,296,3,8,0,345,17,3,0
24,145,4,11,7,181,6,4,0
1,180,3,7,2,337,0,10,0
9,168,2,9,3,351,2,12,0
23,210,2,5,3,145,0,7,0
17,496,4,19,9,315,16,20,0
12,566,3,14,7,225,14,4,0
4,592,3,7,0,54,4,5,0
22,513,5,12,7,304,15,14,0
23,380,3,13,8,68,11,22,0
0,112,2,13,8,107,18,15,0
21,134,1,19,4,334,13,10,0
0,322,1,14,3,77,2,6,0
17,467,1,6,3,27,18,5,0
14,239,1,8,8,344,0,11,0
16,206,3,9,7,155,0,3,0
10,432,3,19,9,72,9,13,0
20,581,5,7,9,180,2,10,1
